result1,result2,result3,result4,result5
240,340,440,540,640
241,341,441,541,641
242,342,442,542,642
243,343,443,543,643
244,344,444,544,644
245,345,445,545,645
246,346,446,546,646
247,347,447,547,647
248,348,448,548,648
249,349,449,549,649
250,350,450,550,650
251,351,451,551,651
252,352,452,552,652
253,353,453,553,653
254,354,454,554,654
255,355,455,555,655
256,356,456,556,656
257,357,457,557,657
258,358,458,558,658
259,359,459,559,659
260,360,460,560,660
261,361,461,561,661
262,362,462,562,662
263,363,463,563,663
264,364,464,564,664
265,365,465,565,665
266,366,466,566,666
267,367,467,567,667
268,368,468,568,668
269,369,469,569,669
270,370,470,570,670
271,371,471,571,671
272,372,472,572,672
273,373,473,573,673
274,374,474,574,674
275,375,475,575,675
276,376,476,576,676
277,377,477,577,677
278,378,478,578,678
279,379,479,579,679
280,380,480,580,680
281,381,481,581,681
282,382,482,582,682
283,383,483,583,683
284,384,484,584,684
285,385,485,585,685
286,386,486,586,686
287,387,487,587,687
288,388,488,588,688
289,389,489,589,689
290,390,490,590,690
291,391,491,591,691
292,392,492,592,692
293,393,493,593,693
294,394,494,594,694
295,395,495,595,695
296,396,496,596,696
297,397,497,597,697
298,398,498,598,698
299,399,499,599,699
300,400,500,600,700
301,401,501,601,701
302,402,502,602,702
303,403,503,603,703
304,404,504,604,704
305,405,505,605,705
306,406,506,606,706
307,407,507,607,707
308,408,508,608,708
309,409,509,609,709
310,410,510,610,710
311,411,511,611,711
312,412,512,612,712
313,413,513,613,713
314,414,514,614,714
315,415,515,615,715
316,416,516,616,716
317,417,517,617,717
318,418,518,618,718
319,419,519,619,719
320,420,520,620,720
321,421,521,621,721
322,422,522,622,722
323,423,523,623,723
324,424,524,624,724
325,425,525,625,725
326,426,526,626,726
327,427,527,627,727
328,428,528,628,728
329,429,529,629,729
330,430,530,630,730
331,431,531,631,731
332,432,532,632,732
333,433,533,633,733
334,434,534,634,734
335,435,535,635,735
336,436,536,636,736
337,437,537,637,737
338,438,538,638,738
339,439,539,639,739
